id,key,value,type
46946845,highway,turning_circle,regular
46946905,highway,traffic_signals,regular
46946905,traffic_signals,signal,regular
46946916,highway,traffic_signals,regular
46946916,traffic_signals,signal,regular
46946925,highway,traffic_signals,regular
46946925,traffic_signals,signal,regular
46947072,highway,traffic_signals,regular
46947111,highway,traffic_signals,regular
46947277,highway,turning_circle,regular
46947435,highway,turning_circle,regular
46947443,highway,turning_circle,regular
46947561,highway,turning_circle,regular
46947622,highway,turning_circle,regular
46947814,highway,turning_circle,regular
46947863,highway,traffic_signals,regular
46947964,highway,traffic_signals,regular
46947964,traffic_signals,signal,regular
46948038,highway,traffic_signals,regular
46948038,traffic_signals,signal,regular
46948293,highway,turning_circle,regular
46948395,highway,turning_circle,regular
46948484,highway,turning_circle,regular
46948680,crossing,traffic_signals,regular
46948680,highway,crossing,regular
46948755,highway,traffic_signals,regular
46949230,highway,turning_circle,regular
46949334,highway,turning_circle,regular
46949375,highway,turning_circle,regular
46949503,highway,turning_circle,regular
46949554,highway,turning_circle,regular
46949578,highway,turning_circle,regular
46949608,highway,turning_circle,regular
46949608,source,Bing,regular
46949742,highway,turning_circle,regular
46949794,highway,turning_circle,regular
46949900,highway,traffic_signals,regular
46949904,highway,traffic_signals,regular
46949923,highway,traffic_signals,regular
46949927,highway,traffic_signals,regular
46949940,highway,traffic_signals,regular
46949953,highway,traffic_signals,regular
46949967,highway,traffic_signals,regular
46949987,highway,traffic_signals,regular
46949987,traffic_signals,blink_mode,regular
46950372,highway,turning_circle,regular
46950476,highway,turning_circle,regular
46950522,highway,turning_circle,regular
46950537,highway,turning_circle,regular
46950772,railway,level_crossing,regular
46950899,highway,turning_circle,regular
46951060,bus,yes,regular
46951060,name,Washington & 11th Avenue,regular
46951060,public_transport,stop_position,regular
46951082,bus,yes,regular
46951082,name,Washington & 19th Avenue,regular
46951082,public_transport,stop_position,regular
46951149,highway,turning_circle,regular
46951193,highway,turning_circle,regular
46951352,highway,turning_circle,regular
46951364,highway,turning_circle,regular
46951375,highway,turning_circle,regular
46951720,highway,turning_circle,regular
46951837,highway,turning_circle,regular
46951997,highway,turning_circle,regular
46951997,source,Bing,regular
46952090,highway,turning_circle,regular
46952095,highway,traffic_signals,regular
46952106,highway,traffic_signals,regular
46952106,traffic_signals,signal,regular
46952114,highway,traffic_signals,regular
46952114,traffic_signals,signal,regular
46952250,highway,turning_circle,regular
46952298,highway,turning_circle,regular
46952789,highway,turning_circle,regular
46952839,highway,turning_circle,regular
46952839,source,Bing,regular
46953019,highway,turning_circle,regular
46953084,highway,turning_circle,regular
46953652,highway,turning_circle,regular
46953659,highway,turning_circle,regular
46953689,highway,turning_circle,regular
46953689,source,Bing,regular
46953693,highway,turning_circle,regular
46953693,source,Bing,regular
46954189,highway,turning_circle,regular
46954208,highway,traffic_signals,regular
46954208,traffic_signals,signal,regular
46954210,highway,traffic_signals,regular
46954210,traffic_signals,signal,regular
46954234,highway,turning_circle,regular
46954234,source,Bing,regular
46954414,highway,turning_circle,regular
46954414,source,Bing,regular
46954500,highway,traffic_signals,regular
46954500,traffic_signals,signal,regular
46954936,highway,turning_circle,regular
46954956,highway,turning_circle,regular
46954990,highway,turning_circle,regular
46954990,source,Bing,regular
46955001,highway,turning_circle,regular
46955001,source,Bing,regular
46955208,highway,turning_circle,regular
46955445,highway,turning_circle,regular
46955522,highway,turning_circle,regular
46955639,highway,turning_circle,regular
46955639,source,Bing,regular
46955651,highway,turning_circle,regular
46955694,highway,turning_circle,regular
46955734,highway,turning_circle,regular
46955767,highway,turning_loop,regular
46955800,highway,turning_circle,regular
46955840,highway,turning_circle,regular
46955874,highway,turning_circle,regular
46955874,source,Bing,regular
46955881,highway,turning_circle,regular
46955898,highway,turning_circle,regular
46955908,highway,turning_circle,regular
46955908,source,Bing,regular
46955911,highway,turning_circle,regular
46955911,source,Bing,regular
46956504,highway,stop,regular
46956504,stop,all,regular
46956755,highway,turning_circle,regular
46957086,highway,turning_circle,regular
46957399,highway,turning_loop,regular
46957854,highway,traffic_signals,regular
46957889,highway,turning_circle,regular
46958545,highway,turning_circle,regular
46958718,highway,turning_circle,regular
46958741,highway,turning_circle,regular
46958772,highway,turning_circle,regular
46958895,highway,turning_circle,regular
46959247,highway,turning_circle,regular
46959297,highway,turning_circle,regular
46959301,highway,turning_circle,regular
46959312,highway,turning_circle,regular
46959622,highway,turning_circle,regular
46959622,source,Bing,regular
46959854,highway,turning_circle,regular
46960122,bus,yes,regular
46960122,name,Van Giesen & 41st Ave,regular
46960122,public_transport,stop_position,regular
46960217,highway,turning_circle,regular
46960629,highway,turning_circle,regular
46960684,highway,turning_circle,regular
46960689,highway,turning_circle,regular
46960689,source,Bing,regular
46960715,highway,turning_circle,regular
46961127,highway,turning_circle,regular
46961335,highway,turning_circle,regular
46961372,railway,level_crossing,regular
46961451,railway,level_crossing,regular
46961621,railway,level_crossing,regular
46961655,railway,level_crossing,regular
46961671,railway,level_crossing,regular
46962001,railway,level_crossing,regular
46962584,railway,level_crossing,regular
46962701,name,SP&S Junction,regular
46962701,place,locality,regular
46962701,railway,switch,regular
46962701,switch:electric,yes,railway
46963158,railway,level_crossing,regular
46963193,railway,signal,regular
46963193,signal:direction,forward,railway
46963196,railway,switch,regular
46964146,railway,level_crossing,regular
46964150,railway,level_crossing,regular
46964165,railway,level_crossing,regular
46964169,railway,level_crossing,regular
46964173,railway,level_crossing,regular
46964180,railway,level_crossing,regular
46964189,railway,level_crossing,regular
46964205,railway,switch,regular
46964218,railway,switch,regular
46964221,railway,switch,regular
46964225,railway,switch,regular
46964419,railway,level_crossing,regular
46964561,highway,turning_circle,regular
46964567,highway,turning_circle,regular
46964650,highway,turning_circle,regular
46964833,railway,level_crossing,regular
46965327,highway,turning_circle,regular
46965528,highway,turning_circle,regular
46965542,highway,turning_circle,regular
46965542,source,Bing,regular
46965690,highway,turning_circle,regular
46965774,highway,turning_circle,regular
46965774,source,Bing,regular
46965930,railway,level_crossing,regular
46965941,barrier,yes,regular
46966001,highway,turning_circle,regular
46966203,highway,turning_circle,regular
46966286,highway,traffic_signals,regular
46966837,highway,turning_circle,regular
46966894,railway,level_crossing,regular
46966983,highway,turning_circle,regular
46967030,highway,turning_circle,regular
46967350,highway,turning_circle,regular
46967462,highway,turning_circle,regular
46967751,highway,turning_circle,regular
46967759,highway,turning_circle,regular
46967780,highway,turning_circle,regular
46967787,highway,turning_circle,regular
46968612,highway,turning_circle,regular
46968612,source,Bing,regular
46968722,highway,turning_circle,regular
46968735,highway,turning_circle,regular
46968857,highway,turning_circle,regular
46968883,highway,turning_circle,regular
46969178,highway,turning_circle,regular
46969289,railway,level_crossing,regular
46969305,highway,turning_circle,regular
46969697,highway,turning_circle,regular
46969720,highway,traffic_signals,regular
46969748,highway,traffic_signals,regular
46969748,traffic_signals,signal,regular
46969759,highway,turning_circle,regular
46969873,highway,turning_circle,regular
46969896,highway,turning_circle,regular
46969904,highway,turning_loop,regular
46970091,highway,turning_circle,regular
46970308,highway,turning_circle,regular
46970308,source,Bing,regular
46970371,highway,turning_circle,regular
46970380,highway,turning_circle,regular
46970503,highway,turning_circle,regular
46970503,source,Bing,regular
46970557,highway,traffic_signals,regular
46970557,traffic_signals,signal,regular
46971334,highway,traffic_signals,regular
46971334,traffic_signals,signal,regular
46971351,bus,yes,regular
46971351,name,Kennewick & Perry,regular
46971351,public_transport,stop_position,regular
46971609,highway,turning_circle,regular
46971672,highway,turning_circle,regular
46971679,highway,turning_circle,regular
46971736,highway,turning_circle,regular
46971887,highway,traffic_signals,regular
46971998,highway,turning_circle,regular
46972116,highway,turning_circle,regular
46972133,highway,turning_circle,regular
46972664,highway,turning_circle,regular
46972685,highway,turning_circle,regular
46972692,highway,turning_circle,regular
46972699,highway,turning_circle,regular
46972728,highway,turning_circle,regular
46972756,highway,turning_circle,regular
46972820,highway,traffic_signals,regular
46972820,traffic_signals,signal,regular
46972901,highway,turning_circle,regular
46972973,highway,turning_circle,regular
46972992,highway,turning_circle,regular
46973121,highway,turning_circle,regular
46973154,highway,turning_circle,regular
46973530,highway,traffic_signals,regular
46973530,traffic_signals,signal,regular
46973676,highway,traffic_signals,regular
46973676,traffic_signals,signal,regular
46973742,highway,traffic_signals,regular
46973742,traffic_signals,signal,regular
46973834,highway,turning_circle,regular
46973834,source,Bing,regular
46974120,highway,turning_circle,regular
46974126,highway,turning_circle,regular
46974172,highway,turning_circle,regular
46974972,railway,switch,regular
46974992,railway,switch,regular
46975235,railway,switch,regular
46975491,highway,turning_circle,regular
46975496,highway,turning_circle,regular
46975505,highway,traffic_signals,regular
46975807,highway,turning_circle,regular
46975820,highway,turning_circle,regular
46976004,bus,yes,regular
46976004,name,27th Avenue & Kent,regular
46976004,public_transport,stop_position,regular
46976101,highway,turning_circle,regular
46976109,highway,turning_circle,regular
46976114,highway,turning_circle,regular
46976119,highway,turning_circle,regular
46976119,source,Bing,regular
46976124,highway,turning_circle,regular
46976152,highway,turning_circle,regular
46976302,highway,turning_circle,regular
46976513,highway,turning_circle,regular
46976638,highway,turning_circle,regular
46976702,highway,turning_circle,regular
46976705,highway,turning_circle,regular
46976795,highway,turning_circle,regular
46976821,highway,turning_circle,regular
46976821,source,Bing,regular
